id;funding_source;user_name;project_id
5000001;Child sponsorship;DummyDataMaDB;MDB358635
5000002;Child sponsorship;DummyDataMaDB;MDB467501
5000003;Child sponsorship;DummyDataMaDB;MDB497394
5000004;Child sponsorship;DummyDataMaDB;MDB782997
5000005;Child sponsorship;DummyDataMaDB;MDB119209
5000006;Child sponsorship;DummyDataMaDB;MDB201477
5000007;Child sponsorship;DummyDataMaDB;MDB216776
5000008;Child sponsorship;DummyDataMaDB;MDB503231
5000009;Child sponsorship;DummyDataMaDB;MDB547689
5000010;Child sponsorship;DummyDataMaDB;MDB627714
5000011;Child sponsorship;DummyDataMaDB;MDB793275
5000012;Child sponsorship;DummyDataMaDB;MDB112248
5000013;Child sponsorship;DummyDataMaDB;MDB183360
5000014;Child sponsorship;DummyDataMaDB;MDB218889
5000015;Child sponsorship;DummyDataMaDB;MDB219984
5000016;Child sponsorship;DummyDataMaDB;MDB254787
5000017;Child sponsorship;DummyDataMaDB;MDB289572
5000018;Child sponsorship;DummyDataMaDB;MDB964176
5000019;Child sponsorship;DummyDataMaDB;MDB127280
5000020;Child sponsorship;DummyDataMaDB;MDB150167
5000021;Child sponsorship;DummyDataMaDB;MDB176622
5000022;Child sponsorship;DummyDataMaDB;MDB230931
5000023;Child sponsorship;DummyDataMaDB;MDB471196
5000024;Corporate donations;DummyDataMaDB;MDB119209
5000025;Corporate donations;DummyDataMaDB;MDB201477
5000026;Corporate donations;DummyDataMaDB;MDB216776
5000027;Corporate donations;DummyDataMaDB;MDB503231
5000028;Corporate donations;DummyDataMaDB;MDB358635
5000029;Corporate donations;DummyDataMaDB;MDB368228
5000030;Corporate donations;DummyDataMaDB;MDB392780
5000031;Corporate donations;DummyDataMaDB;MDB452975
5000032;Corporate donations;DummyDataMaDB;MDB467501
5000033;Corporate donations;DummyDataMaDB;MDB481471
5000034;Corporate donations;DummyDataMaDB;MDB483574
5000035;Corporate donations;DummyDataMaDB;MDB497394
5000036;Corporate donations;DummyDataMaDB;MDB503907
5000037;Corporate donations;DummyDataMaDB;MDB528133
5000038;Corporate donations;DummyDataMaDB;MDB681606
5000039;Corporate donations;DummyDataMaDB;MDB700469
5000040;Corporate donations;DummyDataMaDB;MDB735815
5000041;Corporate donations;DummyDataMaDB;MDB762982
5000042;Corporate donations;DummyDataMaDB;MDB782997
5000043;Institutional Grants;DummyDataMaDB;MDB112248
5000044;Institutional Grants;DummyDataMaDB;MDB150167
5000045;Institutional Grants;DummyDataMaDB;MDB201477
5000046;Institutional Grants;DummyDataMaDB;MDB219984
5000047;Institutional Grants;DummyDataMaDB;MDB289572
5000048;Institutional Grants;DummyDataMaDB;MDB368228
5000049;Institutional Grants;DummyDataMaDB;MDB119209
5000050;Institutional Grants;DummyDataMaDB;MDB176622
5000051;Institutional Grants;DummyDataMaDB;MDB216776
5000052;Institutional Grants;DummyDataMaDB;MDB230931
5000053;Institutional Grants;DummyDataMaDB;MDB338483
5000054;Institutional Grants;DummyDataMaDB;MDB483574
5000055;Institutional Grants;DummyDataMaDB;MDB127280
5000056;Institutional Grants;DummyDataMaDB;MDB183360
5000057;Institutional Grants;DummyDataMaDB;MDB218889
5000058;Institutional Grants;DummyDataMaDB;MDB254787
5000059;Institutional Grants;DummyDataMaDB;MDB358635
5000060;Institutional Grants;DummyDataMaDB;MDB497394
5000061;Institutional Grants;DummyDataMaDB;MDB872949
5000062;Institutional Grants;DummyDataMaDB;MDB889194
5000063;Institutional Grants;DummyDataMaDB;MDB892423
5000064;Institutional Grants;DummyDataMaDB;MDB921777
5000065;Institutional Grants;DummyDataMaDB;MDB934806
5000066;Institutional Grants;DummyDataMaDB;MDB964176
5000067;Institutional Grants;DummyDataMaDB;MDB997447
5000068;Institutional Grants;DummyDataMaDB;MDB797324
5000069;Institutional Grants;DummyDataMaDB;MDB807002
5000070;Institutional Grants;DummyDataMaDB;MDB838354
5000071;Institutional Grants;DummyDataMaDB;MDB845882
5000072;Institutional Grants;DummyDataMaDB;MDB862477
5000073;Institutional Grants;DummyDataMaDB;MDB865078
5000074;Institutional Grants;DummyDataMaDB;MDB112248
5000075;Institutional Grants;DummyDataMaDB;MDB119209
5000076;Institutional Grants;DummyDataMaDB;MDB127280
5000077;Institutional Grants;DummyDataMaDB;MDB150167
5000078;Institutional Grants;DummyDataMaDB;MDB176622
5000079;Institutional Grants;DummyDataMaDB;MDB183360
5000080;Institutional Grants;DummyDataMaDB;MDB201477
5000081;Institutional Grants;DummyDataMaDB;MDB216776
5000082;Small business donations;DummyDataMaDB;MDB127280
5000083;Small business donations;DummyDataMaDB;MDB150167
5000084;Institutional Grants;DummyDataMaDB;MDB496283
5000085;Institutional Grants;DummyDataMaDB;MDB503574
5000086;Institutional Grants;DummyDataMaDB;MDB728707
